|Название|О товаре|Производитель|Торговая марка|Страна|Вес|Объем|Состав|Вид|Энергетическая ценность|Белки|Жиры|Углеводы|Срок годности|Стоимость|IMG URL|URL
42|Икра мойвы Санта Бремор с копченым лососем 180г||Санта Бремор||Беларусь|0.18 кг||Икра соленая (икра**, соль): икра мойвы, икра сельди атлантической; масло растительное, вода питьевая, кусочки форели радужной^ подкопченные, сахар, картофельный крахмал, яичный желток, красители: кармины, экстракт паприки; сухое обезжиренное молоко, загуститель ксантановая камедь, регулятор кислотности уксусная кислота ледяная||357.0|6.7 г|36.7 г||180 дней|159₽/шт|https://media.vprok.ru/products/x700/43/dk/6wpdkscz6vrapan765v6vroi2aardk43.jpeg|https://www.vprok.ru/product/santa-bremor-s-br-ikra-delik-kop-losos-180g--856189
43|Колбаса Черный Кабан Сальчичон сырокопченая нарезка 95г||Клинский МК|Черный Кабан|Россия|0.095 кг||Свинина,грудинка свиная,посолочная смесь(соль,фиксатор окраски нитрит натрия),регулятор кислотности глюконо-дельта-лактон,мальтодекстрин,стабилизаторы трифосфат натрия,полифосфат натрия,усилитель вкуса и аромата глутамат натрия,антиокислитель изоаскорбат натрия,экстракт дрожжей,волокна пищевые(бамбук),перец чёрный,кориандр,молоко сухое,красители пищевые кармин,ферментированный рис,декстроза,стартовая культура||380.0|22 г|32 г|0 г|60 дней|169₽/шт|https://media.vprok.ru/products/x700/yy/w3/n6kov2lyzocwgbanv4yvdkzhdmfww3yy.jpeg|https://www.vprok.ru/product/chernyy-kaban-klb-sk-salchichon-narezka-95g-chk--1246446
44|Смесь орехово-фруктовая Маркет Перекресток Коктейль 135г||МОК-производство|Маркет Перекресток|Россия|0.135 кг||Ядра орехов миндаля обжаренные, ядра орехов фундука  обжаренные, ядра орехов кешью обжаренные, виноград сушёный (изюм темный и светлый, консервант Е220)||550.0|15 г|41 г|30 г|365 дней||https://media.vprok.ru/products/x700/li/p4/dog5lqnttzqi5u4ttzg6ejdpxnfmp4li.jpeg|https://www.vprok.ru/product/market-perekrestok-smes-yader-orehov-i-suhofruktov-kokteyl-135-g-market-perekrestok--1244599
45|Майонез Я люблю готовить 67% 250мл||Жировой Комбинат|Я люблю готовить|Россия||0.25 л|Масло подсолнечное, вода, яичный желток, сироп агавы, соль, молочный белок, яблочный и лимонный соки, экстракт специй, эфирное масло, горчичное||616.0|0.8 г|67 г|2.5 г|120 дней|154,9₽/шт|https://media.vprok.ru/products/x700/33/im/z4bivjqa2y7aukmpfwqxlbfzi257im33.jpeg|https://www.vprok.ru/product/mayonez-ya-lyublyu-gotovit-chistyy-mayonez-s-massovoy-doley-jira-67-250-ml--1216810
46|Круассан Классический на масле 70г||||Россия|0.07 кг||Мука пшеничная, маргарин (рафинированные дезодорированные раститительные масла, вода, Е472с, Е433, Е476, соль, Е200, Е202,  краситель каротин, ароматизатор, Е330), сахар, масло сливочное, дрожжи, молоко сухое, соль, п/д (пшеничная клейковина,  мука пшеничная солодовая) эмульгатор Е472е, рапсовый лецитин, стабилизатор Е466, антислеживатель Е341, Е300, ферменты),  глазурь (вода, масло растительное, бел.раст(горох), декстроза, мальтодекстрин, крахмал кукурузный)||340.0|8 г|20 г|33 г|2 дня|39,9₽/шт|https://media.vprok.ru/products/x700/5i/nx/26zks2ikye5ojp5aed5zheehs4dbnx5i.jpeg|https://www.vprok.ru/product/perekrestok-kruassan-klassicheskiy-nm-70g--486530
47|Подосиновики Всегда пожалуйста резаные быстрозамороженные 300г|Подосиновики Всегда пожалуйста резаные быстрозамороженные 300г – 100% натуральные грибы, отвечающие самым строгим стандартам качества и безопасности пищевой продукции. Подосиновики бережно собирают, сортируют, очищают, нарезают на небольшие кусочки, а затем подвергают «шоковой» заморозке. Этот метод замораживания считается самым оптимальным, ведь он позволяет сохранить пищевую ценность, естественный вкус и аромат любого продукта. Эти грибы обогащают организм витаминами, минералами, клетчаткой и растительным белком, способствуют укреплению иммунитета, благотворно влияют на работу печени, улучшают моторику кишечника. Их можно жарить, солить, мариновать, тушить, а также использовать для приготовления первых блюд, салатов и закусок. Продукт идеально впишется в рацион вегетарианцев, сторонников диетического питания, постящихся.|ПК ЭкоРесурс|Всегда пожалуйста!|Россия|0.3 кг||Подосиновики резаные||92.0|3.3 г|0.7 г|1.5 г|730 дней|199,9₽/шт|https://media.vprok.ru/products/x700/bv/wz/6ynzftzdkmypmhbpa4q7n5krlbouwzbv.jpeg|https://www.vprok.ru/product/vsegda-pojaluysta-podosinoviki-vp-pp300g--1022324
48|Булочки FOODCODE кукурузные без глютена 4*60г||Фудкод|Foodcode|Россия|0.24 кг||Вода питьевая; семена тыквы; мука рисовая; крахмал кукурузный; крахмал картофельный; масло подсолнечное рафинированное; дрожжи хлебопекарные прессованные; сахар тростниковый; мука кукурузная; волокна пищевые  (псиллиум); семена подсолнечника; стабилизатор гидроксипропилметилцеллюлоза; изолят горохового белка; семена льна; соль пищевая; волокна пищевые (яблоко); стабилизатор ксантановая камедь; ферментный препарат (рисовая мука, ферменты (грибная и бактериальная амилаза)); куркума молотая; закваска рисовая (мука рисовая, вода)|Булочка|472.0|8.8 г|32.1 г|36.9 г|30 дней|200₽/шт|https://media.vprok.ru/products/x700/dz/rv/rx3cc7szm6yzlozbiuet34eg62f6rvdz.jpeg|https://www.vprok.ru/product/foodcode-bulochka-kukuruznaya-240g--976936
49|Сыр творожный Almette Легкий 53% 150г|"Сыр творожный ""Almette"" легкий, 53%, 150г приготовлен из свежего натурального молока и сливок. Он обладает мягкой рассыпчатой творожной текстурой и выразительным сливочным вкусом. Нежный сливочный сыр прекрасно дополняет закуски, становится еще нежнее на теплой ароматной брускетте в сочетании с томатами и базиликом. С легким сыром ""Альметте"" получаются чудесные завтраки, он идеален для приготовления простых тостов на завтрак, оладьев с бананом или аппетитных блинчиков. Легкий творожный сыр обладает таким же нежным вкусом, как и классический ""Альметте"" сливочный, однако в нем на 34% меньше жирности. В качестве намазки творожный сыр прекрасно гармонирует с галетами и круассанами. Дополнить такое несложное блюдо можно фруктами, ягодами, рыбной или мясной нарезкой – отличное решение для перекуса. А на десерт можно побаловать себя кусочком галеты со смородиной и начинкой из сливочного сыра. Продукт заключен в удобную баночку с герметичной крышкой и фольгированным слоем. Она служит практичным контейнером для хранения сыра в холодильнике."|Хохланд Руссланд|Almette|Россия|||Творог (молоко, сливки, бактериальная закваска молочнокислых микроорганизмов (L. lactis), молокосвертывающий фермент микробного происхождения), сыры мягкие, сыворотка молочная сухая, молочный белок, соль, стабилизаторы: гуаровая камедь, камедь рожкового дерева, регулятор кислотности лимонная кислота, вода питьевая|Творожный|217.0|8.4 г|18 г|5.5 г|120 дней|160₽/шт|https://media.vprok.ru/products/x700/34/3p/oh7axxzrhjxqffbzd46b3ivfh3k53p34.jpeg|https://www.vprok.ru/product/almette-almette-syr-legkiy-tvor-53150g--1038563
50|Арахис Маркет Перекресток жареный с солью 200г|Арахис Маркет Перекресток жареный с солью 200г — такая упаковка орешков будет незаменима, если голод застал вас врасплох или вам нужна вкусная и сытная закуска. Арахис – это весьма питательный, приятный на вкус орех родом из Южной Америки. В арахисе содержатся растительные белки, углеводы, жирные масла, фолиевая кислота и другие витамины. Несмотря на свою калорийность, арахис отлично усваивается организмом, помогает быстрее думать, улучшает внимание и способность к концентрации, служит более быстрому восстановлению организма после болезни. Арахис с солью – традиционно любимый продукт миллионов россиян. Он прекрасно утоляет голод, придает энергии и насыщает организм необходимыми нутриентами.|Деловое партнерство|Маркет Перекресток|Россия|0.2 кг||Ядра арахиса жареные, масло растительное, соль||610.0|25 г|50 г|14 г|387 дней|119,9₽/шт|https://media.vprok.ru/products/x700/7w/v4/wiv5aqcqzzutybii3ah7bh2sdv75v47w.jpeg|https://www.vprok.ru/product/market-perekrestok-mark-per-yadra-arah-jar-sol-200g--431867
51|Булочки FOODCODE для гамбургера со спирулиной без глютена 3*70г||Фудкод|Foodcode|Россия|0.21 кг||Вода питьевая; мука рисовая; крахмал кукурузный; масло подсолнечное рафинированное; семена льна светлого; дрожжи хлебопекарные прессованные; сахар тростниковый; волокна пищевые (бамбук); волокна пищевые  (псиллиум); изолят горохового белка; соль пищевая; стабилизатор гидроксипропилметилцеллюлоза; порошок из водоросли спирулины; стабилизатор ксантановая камедь; ферментный препарат (рисовая мука, ферменты (грибная и бактериальная амилаза)); закваска рисовая (мука рисовая, вода)|Булочка|318.7|6.24 г|14.05 г|41.84 г|30 дней|180₽/шт|https://media.vprok.ru/products/x700/3d/jl/pdvoty3lppaw3zihujbkddyunre5jl3d.jpeg|https://www.vprok.ru/product/foodcode-bul-dlya-gamb-so-spirulinoy-210g--976917
52|Миндаль Дары природы жареный 70г||МОК-производство|Дары природы|Россия|0.07 кг||Миндаль жареный (ядро)||640.0|22 г|56 г|12 г|365 дней|155,9₽/шт|https://media.vprok.ru/products/x700/dj/jr/55pqhv5wluw7ktx4rxqhh43ocptmjrdj.jpeg|https://www.vprok.ru/product/dary-prirody-dary-pr-mindal-jar-yadra-70g--1034350
53|Микс фруктовый Вкусные истории Манго Киви Клубника 140г|||Вкусные истории|Россия|0.14 кг||||53.5|0.8 г|0.4 г|11 г|4 дня||https://media.vprok.ru/products/x700/cp/q5/rw7u6qez5h6odl2aajhqmmkxesvmq5cp.jpeg|https://www.vprok.ru/product/vkusnye-istorii-fruktovyy-miks-mango-kivi-klubnika--1195053
54|Сок Дары Кубани Яблочный прямого отжима осветленный 1л||Южная соковая компания|Дары Кубани|Россия||1 л|Сок яблочный прямого отжима||40.0|||10 г|365 дней|120₽/шт|https://media.vprok.ru/products/x700/nt/pp/uq5xzh7ya4muonp7qyh43e3hscitppnt.jpeg|https://www.vprok.ru/product/dary-kubani-d-kub-sok-yablochn-pr-otj-osv-1l--976028
55|Икра Путина лососевая 170г||Путина||Россия|0.17 кг||Икра-зерно лососевых рыб, соль пищевая, масло подсолнечное рафинированное дезодорированное, консерванты: Е200, Е211||245.0|32 г|13 г||365 дней|1 599₽/шт|https://media.vprok.ru/products/x700/he/6u/wl2uvrufhtlbsilea2qwpv4pa4jc6uhe.jpeg|https://www.vprok.ru/product/putina-putina-ikra-los-sah-del-1s-170g--651678
56|Каша овсяная Fleur Alpine на козьем молоке с 5 месяцев 200г|Каша овсяная Fleur Alpine на козьем молоке с 5 месяцев 200г – органический продукт, изготовленный из цельнозерновой овсяной муки и цельного молока альпийских козочек. Не содержит сахара, искусственных красителей, ароматизаторов, консервантов и ГМО. Легко и быстро разводится, не образуя комочков. В готовом виде имеет нежную, воздушную консистенцию, приятный аромат и слегка сладковатый вкус. При отсутствии у ребенка аллергии на молочный белок эту кашку можно вводить в качестве первого злакового прикорма. Fleur Alpine – это экологически чистое, по-настоящему полезное и вкусное детское питание премиум-класса. Вся продукция бренда проходит сертификацию в соответствии с Регламентами Европейского Союза об органическом сельском хозяйстве.|Toepfer GmbH|Fleur Alpine|Германия|0.2 кг||Цельнозерновая овсяная мука, сухое цельное козье молоко, мальтодекстрин, витамин В1|Овсяная|448.0|15.5 г|14 г|62.3 г|540 дней|689₽/шт|https://media.vprok.ru/products/x700/36/2c/g5lo3yzbbguwe6qo4uh42mbi5xxp2c36.jpeg|https://www.vprok.ru/product/fleur-alpine-f-a-kash-ovs-nkoz-mol-s-5m-200g--392403
57|Смесь Maggi на второе Для румяной картошечки по-деревенски с соусом Тартар 29г|Смесь Maggi на второе Для румяной картошечки по-деревенски с соусом Тартар 29г подарит вам идею восхитительного блюда, которое можно подать к столу и в будни, и в праздничные дни! В двойном пакетике вы найдете готовую приправу для приготовления ароматного золотистого картофеля, а также смесь для нежного сливочного соуса тартар. В составе только безопасные, хорошо знакомые ингредиенты: лук, чеснок, йодированная соль, душистые специи и пряные травы. Точно следуйте пошаговой инструкции, представленной на обратной стороне упаковки, и уже через 40-50 минут будете лакомиться настоящим кулинарным шедевром! Продукт не содержит глутамата и консервантов. Maggi – всемирно известный бренд, который гарантирует строгий контроль качества выпускаемой продукции на каждом этапе производства.|Nestle|Maggi|Россия|0.029 кг||Сушеные овощи (чеснок (23,7 %), лук репчатый (9,6%), картофельные хлопья, паприка, томат), крахмал кукурузный, йодированная соль (соль, йодат калия), сахар, пшеничная мука (содержит глютен), пряные сушеные травы и молотые специи (перец черный, петрушка, куркума, укроп, перец красный острый, кориандр, майоран, чабер, тимьян), подсолнечное масло, регулятор кислотности (лимонная кислота)||304.0|5.7 г|3.3 г|59 г|360 дней|79,9₽/шт|https://media.vprok.ru/products/x700/dy/eg/rlhlng2ltefx2awbfzqnpfqlkar6egdy.jpeg|https://www.vprok.ru/product/maggi-mag-sm-na-vt-kart-po-dert-t29g--442100
58|Запеканка творожная Зеленая линия 3.5% 200г||Про Вкус|Зеленая линия|Россия|0.2 кг||Творог 5%, сахар, молоко цельное, творог обезжиренный 1.8%, яйцо куриное, мука пшеничная хлебопекарная высшего сорта, ванильный сахар (сахар, измельченные стручки ванили, экстракт ванили)||170.7|11.1 г|3.5 г|23.7 г|14 дней||https://media.vprok.ru/products/x700/z2/pc/a2bstmrlyx2tipw25msyyzt4fqnfpcz2.jpeg|https://www.vprok.ru/product/zelenaya-liniya-zel-lin-zapekan-tvor-3-5-200g--1006258
59|Оладьи Crepelatier мини замороженные 400г||Лина|Crepelatier|Россия|0.4 кг||Мука пшеничная высшего сорта, вода питьевая, сахар,  молочная сыворотка, меланж пастеризованный (продукт яичный), масло растительное, разрыхлитель: гидрокарбонат натрия, соль, регулятор кислотности: кислота лимонная, стабилизатор: ксантановая камедь||220.0|6 г|4 г|40 г|180 дней|145₽/шт|https://media.vprok.ru/products/x700/gs/pe/752lt7mm7nmdql6tte6fmdjyzhglpegs.jpeg|https://www.vprok.ru/product/crepel-oladi-mini-zam-400g--992733
60|Круассан Chateau Blanc премиум замороженный 325г||Chateau Blanc SAS||Россия|0.325 кг||Слоеное тесто (98. 98%): мука пшеничная хлебопекарная в/с, вода питьевая, сливочное масло, сахар-песок, дрожжи хлебопекарные, пшеничная клейковина, загуститель (e412), мука пшеничная хлебопекарная в/с, эмульгатор (e472e), антиокислитель (е300), ферментные препараты микробного происхождения (гемицеллюлаза, амилаза), соль поваренная пищевая, яичное покрытие (1, 02%): (яйцо куриное цельное). может содержать следы орехов, глютена, молочных продуктов, яиц и сои||369.0|8.2 г|19 г|48 г|270 дней|700₽/шт|https://media.vprok.ru/products/x700/if/cz/i54vdkmq762zqurb27blzdqboe25czif.jpeg|https://www.vprok.ru/product/chateau-blanc-sas-chateau-blanc-sas-kruas-pr325g--1036922
61|Молоко Домик в деревне Отборное пастеризованное 3.5-4.5% 1.4л|Молоко Домик в деревне Деревенское Отборное 3.5%-4.5% 1.4л - цельное пастеризованное молоко традиционной жирности. При пастеризации свежее коровье молоко сохраняет большую часть полезных составляющих, но при этом не избавляется полностью от микробов и вредных бактерий, поэтому и срок хранения у него не очень большой. Такое молоко - хороший источник полноценного белка, витаминов группы B, аминокислот, кальция и фосфора. Это важный продукт в ежедневном рационе каждого члена семьи и незаменимый - в кулинарии. Упаковано в пластиковую бутылку с крышечкой. Большой объем.|Вимм-Биль-Данн|Домик в деревне|Россия||1.4 л|Цельное молоко|Коровье|71.0|2.9 г|4.5 г|4.7 г|15 дней|129,9₽/шт|https://media.vprok.ru/products/x700/pe/in/wbfyp6nt4lwt4i4wxk2ryvqvxibpinpe.jpeg|https://www.vprok.ru/product/domik-v-derevne-dom-v-der-moloko-past-3-7-pet-1400ml--310893
62|Йогурт Danone Персик 2.9% 110г|Йогурт Danone Персик 2.9% 110г - это один из первых вкусов, с которых началось производство кисломолочных продуктов известной компании. Это настоящий живой йогурт, в котором сохранились все полезные лактобактерии. Он производится из отборного молока, йогуртовой закваски и наполнителя на основе фруктового пюре. Имеет мягкий вкус и нежную однородную консистенцию. Благодаря достаточному содержанию молочнокислых бактерий благотворно влияет на пищеварение и работу кишечника. Герметичная упаковка, легко открывается.|Danone||Россия||0.11 л|нормализованное молоко, наполнитель (вода, персик, сахарный сироп, кукурузный крахмал, сахар, натуральный ароматизатор, лимонный сок концентрированный, краситель – каротины), сахар, йогуртовая закваска. Может содержать следы глютена и орехов, фрагменты фруктовой косточки||97.0|3.8 г|2.9 г|12.3 г|35 дней|29,49₽/шт|https://media.vprok.ru/products/x700/pl/oq/edypyskfnwkzbu5gkear3os7dfnooqpl.jpeg|https://www.vprok.ru/product/danone-danon-yogurt-2-9-persik-110g--306006
63|Халва Азовская КФ Подсолнечная глазированная 350г||Азовская КФ||Россия|0.35 кг||Ядро подсолнечника протертое, глазурь кондитерская (сахар, заменитель какао-масла нетемперируемый лауринового типа, какао-порошок, молоко сухое цельное, какао тертое, эмульгатор лецитин (E322), ароматизатор «Ванилин»), патока крахмальная, сахар-песок, пенообразователь: экстракт солодкового корня, ароматизатор «Ванилин». Возможно наличие незначительного количества арахиса, кунжута, мака и сушеных фруктов||550.0|10 г|36 г|47 г|240 дней|143₽/шт|https://media.vprok.ru/products/x700/dk/ic/5ka5aw6ms5ikoyl34t2pgdgdrwsuicdk.jpeg|https://www.vprok.ru/product/azovskaya-kf-azov-kf-halva-podsoln-glazir-350g--310036
64|Подсластитель Novasweet Стевия 200г|Подсластитель Novasweet Стевия 200г – натуральный столовый подсластитель, изготовленный на основе натуральных компонентов. Подходит для диетического и диабетического питания. Не вызывает повышения уровня сахара в крови человека и не содержит калорий. В состав продукта входит стевия – «медовая трава» родом из Южной Америки. Второй ингредиент сахарозаменителя – эритрит или «дынный сахар», обладающий уникальной способностью улучшать вкус стевии. Продукт рекомендуется использовать для изготовления кондитерских изделий, десертов, джемов, варенья. Его можно добавлять в напитки, фруктовые салаты и другие блюда. Он не содержит ГМО, красителей, ароматизаторов, консервантов и прочих вредных добавок.|НоваПродукт|Novasweet|Россия|0.2 кг||Натуральные подсластители – эритрит, экстракт листьев стевии||0.0|0 г|0 г|0 г|730 дней|399,99₽/шт|https://media.vprok.ru/products/x700/uk/p2/qedhsgz4apl77gb2defvs5bzfebzp2uk.jpeg|https://www.vprok.ru/product/novasweet-novasw-podsl-steviya-stol-200g--550000
65|Сливки Campina для кофе 10% 10шт*17г||Campina||Россия||0.17 л|Нормализованные сливки|Коровье|120.0|2.8 г|10 г|4.4 г|150 дней|94,99₽/шт|https://media.vprok.ru/products/x700/vu/df/4da3joms6yfheevivgua6j5o62qldfvu.jpeg|https://www.vprok.ru/product/campina-camp-slivki-ster-dkofe-10h17g--1004463
66|Омлет с овощами 150г||ИП Расчислова Н.Н.||Россия|0.15 кг||Яйцо куриное пищевое, молоко питьевое пастеризованное м.д.ж. 3,2%, овощи с/м, соль пищевая, укроп, перец черный молотый||112.5|8.3 г|7.4 г|3.2 г|90 дней|119,9₽/шт|https://media.vprok.ru/products/x700/dk/yq/qat5kzdzzhs7telobeb6rlzu7p4zyqdk.jpeg|https://www.vprok.ru/product/ip-raschislova-n-n-omlet-s-ovoschami--1261218
67|Отруби овсяные Мистраль 400г||Агропродукт|Мистраль|Россия|0.4 кг||Отруби овсяные||346.5|17.8 г|6.9 г|65.8 г|365 дней|89,99₽/шт|https://media.vprok.ru/products/x700/t4/qp/orzp3dluf3zbyindwca2w2dst3dcqpt4.jpeg|https://www.vprok.ru/product/mistral-mist-otrubi-ovsyanye-400g--425133
68|Слойка Мастер Пирогов с сыром 70г|"Слойка с сыром  ""Мастер Пирогов"" – это вкусный и натуральный перекус с большим количеством начинки. Слойку ""Мастер Пирогов"" удобно взять с собой в дорогу и перекусить на ходу, если вы проголодались. Нежное слоеное тесто и ароматный сыр – это то, что нужно для быстрого и сытного перекуса. 100% натуральные ингредиенты в составе  и герметичная упаковка помогают продукту гораздо дольше оставаться вкусным и свежим."|Коломенский|Мастер Пирогов|Россия|0.07 кг||"Мука пшеничная хлебопекраная высшего сорта, вода, мрагрин (масла растительные рафинированные дезодарированные, вода, ароматизатор натуральный), сыр ""Сливочный"" (молоко обезжиренное пастеризованное, сливки пастеризованные, соль пищевая, закваска мазофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат микробного происхождения), майонез (масло подсолнечное, вода, сахар, яичный желток, соль, уксус спиртовой, эфирное горчичное масло, краситель натуральный бета-каротин (провитами А)),сахар белый, меланж дрожжи хлебопекарные пресованные, хлопья картофельные (картофель свежий, краситель куркумин), соль пищевая, крахмал картофельный, чеснок сушеный, орегано."||490.0|10 г|29 г|48 г|3 дня|54,9₽/шт|https://media.vprok.ru/products/x700/oe/eg/zrbhxyi6njxg6uabfkmdrpwzglynegoe.jpeg|https://www.vprok.ru/product/master-pirogov-m-p-sloyka-s-nachin-v-assort-70g--306510
69|Сыр Ламбер Традиционный 50% 0.4-0.6кг|Сыр Ламбер твердый 50% от российской компании Вимм-Билль-Данн производится из натурального молока в Алтайском крае. Отличается нежным сливочным вкусом и светло-желтым цветом, в разрезе имеет однородный рисунок с хаотично расположенными глазками неправильной формы. Содержит большое количество кальция, необходимого для укрепления костной системы, благотворно влияет на состояние волос и ногтей. Уникальный продукт в кулинарии: Ламбер отлично подходит для холодных и горячих бутербродов, хорошо плавится на пицце или пасте, легко режется и трется для салатов и других блюд.|Вимм-Биль-Данн|Ламбер|Россия|||Молоко нормализованное, соль поваренная пищевая, консервант-нитрат натрия, краситель-аннато, с использованием бактериального  концентрата мезофильных и термофильных бактерий и молокосвертывающего ферментного препарата микробного происхождения|Полутвердый, Коровье|365.0|23.7 г|30 г|0 г|180 дней|89,99₽|https://media.vprok.ru/products/x700/wy/jj/hvjb22tipgm3sp4ej52jbuivqs6kjjwy.jpeg|https://www.vprok.ru/product/lamber-lamber-syr-tverdyy-50-fasovannyy-1kg--303848
70|Чай черный Greenfield Classic Breakfast 100*2г||ОРИМИ|Greenfield|Россия|0.2 кг||Чай черный байховый||||||1095 дней|469,9₽/шт|https://media.vprok.ru/products/x700/xk/ct/fdlubgbp3grqkejdsmu4mxyh5uz2ctxk.jpeg|https://www.vprok.ru/product/greenfield-greenf-chay-clas-breakf-bl-200g--342581
71|Говядина Натурбуфет ВОК с рисом и сладким перцем 250г|Говядина Натурбуфет ВОК с рисом и сладким перцем 250г - это готовое второе блюдо, которое перед употреблением нужно лишь разогреть несколько минут в микроволновой печи. Говядина Вок - это тонкие ломтики нежирного мяса, обжаренные в соевом соусе с репчатым луком и сладким болгарским перчиком, сервированные с гарниром из отварного риса. Все ингредиенты свежие и натуральные, 70% из них поставляется из собственного агрохолдинга компании. Производство полностью автоматизировано, для каждого этапа используется специальное оборудование. Уникальная технология бережного томления в порционных герметичных упаковках позволяет готовить по-домашнему вкусные блюда с длительным сроком годности без использования консервантов. Готовая еда постепенно охлаждается в специальной камере до 4°С и не подвергается заморозке.|Дороничи|Натурбуфет|Россия|0.25 кг||ГАРНИР – рис отварной (вода питьевая, крупа рисовая, соль); БЛЮДО ИЗ МЯСА – говядина ВОК со сладким перцем(говядина, соус (соевый соус (соевые бобы, пшеница, вода, соль), сахар, вода, сироп глюкозы, крахмал картофельный, соль, стабилизатор – ксантановая камедь), перец сладкий, лук репчатый свежий, масло растительное, соль, пряности). Может содержать незначительное количество: орехов, горчицы, сельдерея, яичных и молочных продуктов||140.0|5.5 г|3 г|23 г|60 дней|207₽/шт|https://media.vprok.ru/products/x700/qj/ju/nkfysvwxk67cwzr7qttufl6om7f2juqj.jpeg|https://www.vprok.ru/product/naturbufet-naturbufet-govyadina-vok-rissl-perts-250g--315764
72|Рулька свиная Ремит копчено-вареная 0.5-0.7кг||Ремит||Россия|||Свинина, вода, соль, сахар, антиокислитель аскорбат натрия, регуляторы кислотности (лактат натрия, ацетат натрия), стабилизаторы (полифосфат натрия), фиксатор окраски нитрит натрия||490.0|10 г|50 г|1 г|45 дней|78,8₽|https://media.vprok.ru/products/x700/qe/oi/e4vwod573u66sjoccwamsj76mnrdoiqe.jpeg|https://www.vprok.ru/product/remit-remit-rulka-svin-kv-kat-v-1kg--379678
73|Колбаса Клинский Испанская сырокопченая 85г||Клинский МК|Клинский|Россия|0.085 кг||Свинина, грудинка свиная, соль нитритная (соль, фиксатор окраски - нитрит натрия), комплексная пищевая добавка (регулятор кислотности Е575, сахар, стабилизаторы Е450(i), Е452(i), усилитель вкуса и аромата Е621, антиокислитель Е316, Е300, дрожжевые экстракты, ароматизаторы, животный белок, краситель пищевой Е120, молочный белок), стартовая культура||450.0|20 г|22 г||60 дней|159₽/шт|https://media.vprok.ru/products/x700/qa/fb/4ly5eww2zozvdym5e7m3mjbox5spfbqa.jpeg|https://www.vprok.ru/product/klinskiy-klin-mk-kolb-ispanskaya-sk-85g--693469
74|Блинчики Вкусные истории со сгущенным молоком 260г||ТД Арамье|Вкусные истории|Россия|0.26 кг||Блинчики (вода питьевая, молоко ультрапастеризованное м.д.ж 3,2 % , мука пшеничная хлебопекарная  высшего сорта, меланж яичный, сахар, масло подсолнечное рафинированное дезодорированное, соль), вареное молоко сгущенное с сахаром м.д.ж 8,5 % (молоко нормализованное, сахар, технологическое вспомогательное средство: ферментный препарат микробного происхождения — лактаза)||293.3|10.7 г|16 г|26.64 г|180 дней|238₽/шт|https://media.vprok.ru/products/x700/w5/ek/uy7pcmxhbh6xd4qfq56l23vq443kekw5.jpeg|https://www.vprok.ru/product/vkusnye-istorii-vi-blinchiki-so-sgusch-molokom-260-gr-zamorojen--1138606
75|Хумус Перекусов с кедровыми орехами 150г||Штыков и К|Перекусов|Россия|0.15 кг||Нут, тхина (кунжутная паста), масло растительное, кедровые орехи, соль, масло оливковое, чеснок, регулятор кислотности: лимонная кислота, зелень петрушки, специи, консервант: сорбиновая кислота (Е200), бензоат натрия (Е211)||230.0|6 г|20 г|10 г|60 дней|94,9₽/шт|https://media.vprok.ru/products/x700/qc/rl/epunk2cvqi6uayprsntto57nkrgtrlqc.jpeg|https://www.vprok.ru/product/perekusov-perekus-humus-kedrov-oreh-150g--309422
76|Оливки Bonduelle Мансанилья с анчоусом 314мл|Оливки Bonduelle Мансанилья с анчоусом 314мл – настоящая находка для гурманов! Продукт производится из оливок сорта Manzanilla, выращенных в испанском регионе Андалусия. Эти крупные, сочные плоды с нежной мякотью и классическим горьковато-солёным вкусом отлично подходят для фарширования. Из оливок деликатно удаляют косточку и сердцевину, а внутрь кладут небольшие кусочки соленого, слегка пряного анчоуса. В результате получается весьма оригинальная закуска, которая станет достойным украшением вашего стола и в будни, и в праздники. Фаршированные плоды можно добавить в пасту или в салат, а также использовать для декорирования различных блюд и приготовления канапе. Не содержит ГМО. Жестяная банка оснащена ключом для открывания.|Bonduelle|Bonduelle|Россия||0.314 л|Оливки зеленые сорта Мансанилья, вода питьевая, анчоус, натуральный ароматизатор, соль, усилитель вкуса и аромата Е621, стабилизатор Е401, регуляторы кислотности (лимонная кислота и молочная кислота), антиокислитель аскорбиновая кислота||166.67|2.17 г|10.5 г|5.1 г|1095 дней|149,99₽/шт|https://media.vprok.ru/products/x700/lc/zs/ijhlluwdjwlfag55w4rqjre65r27zslc.jpeg|https://www.vprok.ru/product/bonduelle-bond-oliv-mansan-farsh-anch-314ml--543058
77|Шоколад Bucheron горький 72% 100г||Манчестер Энтерпрайз|Bucheron|Россия|0.1 кг||Какао тертое, сахар, какао-порошок, эмульгатор (лецитин), экстракт ванили|Горький|514.0|8.8 г|38.7 г|31.8 г|730 дней|229,9₽/шт|https://media.vprok.ru/products/x700/on/wv/ucvczcelt7rbutu5ykx36ne3ekucwvon.jpeg|https://www.vprok.ru/product/bucheron-buch-shok-gor-100g--418259
